#Gamma Spectrum GammaLow GammaHigh BkgLowA BkgHighA BkgLowB BkgHighB Coincidences Comments
#Single Quotes in the comments will cause the SQL to throw up.
41 1681 40 44 45 49 0 0 "52 212 264 449 511 591 622 645 667 882 886 928 942 1103 1137 1363 1431 1757 1918 2151" "The 212 and 1917 do not appear in 1501/1710. The 1103 is really close to the 1100, same one?"

52 1681 51 55 56 62 0 0 "41 591 832 1363" ""

68 1681 67 70 63 66 0 0 "1032" "Maybe?"

74 1681 72 77 78 83 0 0 "41 449 1308" "The 41 and 1308 are maybes."

153 1681 152 156 147 151 0 0 "" "The peak does not dissappear when doing the cut."

195 1681 192 198 199 205 0 0 "254 306 449 511 674 837 " "The 674 is suspect. "

217 1681 215 220 221 226 0 0 "" ""

254 1681 252 256 250 251 257 258 "" ""

264 1681 262 267 268 273 0 0 "" ""

306 1681 303 311 312 320 0 0 "" ""

342 1681 340 344 345 349 0 0 "" ""

380 1681 377 383 384 390 0 0 "" ""

432 1681 430 435 436 441 0 0 "" ""

458 1681 456 460 461 465 0 0 "" "" 

449 1681 445 454 435 444 0 0 "41 52 153 195 254 306 432 449 458 502 511 573 582 674 699 746 827 844 890 925 975 1032 1100 1337 1374 1464 1534 1545 1559 2037 2359 2438 2466 2501 2504 2514 2655 2882" "The 844, 1032, and 1464 are suspect. The 2504 and 2514 do not appear in 1501/1710."

495 1681 493 497 488 492 0 0 "" ""

501 1681 499 504 0 0 0 0 "" ""
